Number items,50
Number scenarios,100
Capacity,100
Item,Revenue
0,2
1,6
2,6
3,8
4,7
5,9
6,8
7,9
8,2
9,6
10,6
11,8
12,1
13,2
14,4
15,5
16,9
17,2
18,4
19,6
20,3
21,3
22,7
23,2
24,8
25,3
26,3
27,5
28,2
29,7
30,6
31,4
32,5
33,9
34,9
35,5
36,2
37,2
38,8
39,5
40,5
41,9
42,2
43,5
44,7
45,9
46,7
47,3
48,4
49,1
Scenario,probability,Item 0 weight,Item 1 weight,Item 2 weight,Item 3 weight,Item 4 weight,Item 5 weight,Item 6 weight,Item 7 weight,Item 8 weight,Item 9 weight,Item 10 weight,Item 11 weight,Item 12 weight,Item 13 weight,Item 14 weight,Item 15 weight,Item 16 weight,Item 17 weight,Item 18 weight,Item 19 weight,Item 20 weight,Item 21 weight,Item 22 weight,Item 23 weight,Item 24 weight,Item 25 weight,Item 26 weight,Item 27 weight,Item 28 weight,Item 29 weight,Item 30 weight,Item 31 weight,Item 32 weight,Item 33 weight,Item 34 weight,Item 35 weight,Item 36 weight,Item 37 weight,Item 38 weight,Item 39 weight,Item 40 weight,Item 41 weight,Item 42 weight,Item 43 weight,Item 44 weight,Item 45 weight,Item 46 weight,Item 47 weight,Item 48 weight,Item 49 weight,
0,0.01,3,7,6,3,10,3,8,6,3,7,10,4,4,7,5,3,9,10,5,2,7,5,7,8,9,10,4,8,2,3,7,9,6,10,6,4,2,9,10,10,4,7,2,6,8,6,5,7,8,6,
1,0.01,10,7,3,5,2,4,6,10,5,6,5,9,2,10,6,6,5,9,3,3,2,3,10,9,9,6,8,9,8,2,5,8,8,10,5,7,10,9,8,3,6,10,7,10,9,2,9,3,6,7,
2,0.01,8,9,3,5,8,10,4,4,7,9,9,8,8,6,6,6,4,4,6,5,10,2,4,4,5,3,4,2,7,6,7,4,3,3,7,3,6,5,7,10,2,4,10,9,6,10,6,10,9,9,
3,0.01,8,4,9,9,2,8,3,2,10,7,5,3,5,4,8,4,3,9,4,8,9,8,7,6,5,4,3,5,4,5,8,3,5,8,2,5,4,9,8,10,5,8,8,2,5,2,7,5,4,10,
4,0.01,6,4,6,3,9,9,7,8,2,6,8,6,4,8,5,10,6,4,6,9,8,7,3,4,3,4,2,2,3,8,5,8,7,7,6,3,4,6,10,4,4,7,6,8,3,9,4,7,8,7,
5,0.01,9,7,9,7,10,2,8,3,3,5,7,8,4,10,8,7,5,9,10,5,9,9,2,3,3,3,10,8,6,10,10,5,2,3,5,3,3,4,9,4,10,9,2,4,5,10,10,4,7,3,
6,0.01,3,10,7,6,7,10,5,3,4,7,6,9,6,3,8,8,3,10,10,6,5,6,8,2,3,4,8,8,10,6,3,6,8,3,3,2,9,10,9,9,7,6,6,10,5,5,7,9,10,9,
7,0.01,2,9,3,3,7,5,3,9,2,2,4,2,9,2,2,4,10,10,2,6,6,10,9,9,7,8,7,3,4,5,6,10,3,8,10,7,3,5,8,9,9,3,10,5,6,3,6,7,10,5,
8,0.01,4,6,4,6,5,6,10,6,9,9,10,4,7,8,7,3,4,4,2,8,8,8,4,8,3,8,6,5,3,8,3,6,9,4,7,8,3,10,6,9,6,4,5,6,10,5,5,8,5,9,
9,0.01,7,2,6,8,10,4,7,2,8,10,9,8,10,10,7,6,4,3,8,5,4,2,2,4,10,2,8,4,9,4,7,9,6,6,10,10,10,8,3,7,6,6,3,7,8,2,3,5,5,4,
10,0.01,5,10,8,7,2,9,10,5,9,3,9,5,5,3,9,3,4,5,6,9,4,2,8,2,2,8,2,9,7,10,5,2,9,8,3,4,5,2,6,8,8,8,8,6,6,3,10,8,6,9,
11,0.01,3,10,2,10,10,2,3,3,10,8,6,5,6,9,8,7,7,7,9,2,4,9,5,7,9,4,10,9,8,9,6,4,6,5,10,10,2,6,9,9,3,2,9,8,9,10,3,3,4,10,
