Number items,50
Number scenarios,100
Capacity,100
Item,Revenue
0,2
1,1
2,4
3,2
4,2
5,1
6,1
7,4
8,4
9,4
10,1
11,2
12,4
13,2
14,2
15,3
16,2
17,3
18,4
19,4
20,1
21,2
22,3
23,4
24,2
25,4
26,4
27,3
28,4
29,1
30,1
31,1
32,4
33,1
34,3
35,4
36,1
37,2
38,3
39,1
40,4
41,3
42,1
43,2
44,1
45,1
46,1
47,1
48,3
49,4
Scenario,probability,Item 0 weight,Item 1 weight,Item 2 weight,Item 3 weight,Item 4 weight,Item 5 weight,Item 6 weight,Item 7 weight,Item 8 weight,Item 9 weight,Item 10 weight,Item 11 weight,Item 12 weight,Item 13 weight,Item 14 weight,Item 15 weight,Item 16 weight,Item 17 weight,Item 18 weight,Item 19 weight,Item 20 weight,Item 21 weight,Item 22 weight,Item 23 weight,Item 24 weight,Item 25 weight,Item 26 weight,Item 27 weight,Item 28 weight,Item 29 weight,Item 30 weight,Item 31 weight,Item 32 weight,Item 33 weight,Item 34 weight,Item 35 weight,Item 36 weight,Item 37 weight,Item 38 weight,Item 39 weight,Item 40 weight,Item 41 weight,Item 42 weight,Item 43 weight,Item 44 weight,Item 45 weight,Item 46 weight,Item 47 weight,Item 48 weight,Item 49 weight,
0,0.01,2,9,8,10,2,4,6,9,4,8,10,2,9,5,9,7,5,9,10,2,8,7,8,8,8,6,4,2,5,5,8,3,8,10,3,3,2,5,2,5,4,10,2,8,10,4,7,6,8,9,
1,0.01,7,7,6,5,2,3,8,6,8,4,9,5,4,7,8,9,6,7,6,6,10,4,6,10,3,2,3,4,10,3,3,8,10,2,8,9,4,3,8,6,5,8,9,4,2,6,4,10,2,3,
2,0.01,5,10,6,5,4,10,7,2,3,3,3,3,2,4,8,2,5,6,2,10,7,4,8,5,7,7,10,9,5,7,2,10,3,4,4,8,8,10,6,5,6,8,7,2,2,9,3,10,7,2,
3,0.01,4,10,5,3,9,6,5,4,4,10,10,6,3,6,9,10,2,6,3,9,7,6,9,9,10,8,9,3,3,10,5,3,7,9,3,5,4,5,10,2,10,8,9,9,6,4,9,6,6,9,
4,0.01,2,6,5,10,10,3,6,3,2,4,6,3,6,10,2,2,9,4,2,5,5,5,6,3,2,5,5,4,9,10,7,7,10,5,6,2,6,7,9,4,7,4,8,5,9,8,3,7,3,4,
5,0.01,10,7,9,8,8,3,2,6,2,5,9,3,8,5,8,8,8,2,6,3,7,8,9,8,3,2,3,6,9,3,5,5,9,7,9,7,10,7,5,9,10,6,10,8,5,6,5,4,9,2,
6,0.01,5,7,10,9,9,7,2,4,6,10,6,9,6,2,2,4,8,8,6,5,9,6,9,6,10,6,8,5,8,10,7,3,5,6,3,3,3,10,9,9,6,3,4,10,8,3,4,9,5,9,
7,0.01,9,10,5,2,6,10,4,7,7,8,4,8,2,4,9,9,2,6,6,7,2,8,7,4,10,3,7,7,6,3,7,5,8,10,10,2,7,3,7,9,10,3,7,10,5,4,3,3,5,5,
8,0.01,3,2,3,9,10,10,5,3,3,5,7,3,10,10,9,3,3,5,10,5,10,9,4,9,2,10,5,4,4,7,6,2,10,2,10,3,10,7,9,5,2,9,7,2,7,8,3,6,9,9,
9,0.01,2,8,2,5,10,3,5,5,8,9,10,4,6,3,2,3,7,10,2,9,5,3,10,4,5,3,10,6,10,4,6,5,10,6,7,6,8,5,2,8,7,6,9,9,7,8,8,6,8,2,
